episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
68,930.0,738,42350,0.1,0.07154387959441089,172.29208410700005,True,False
69,300.0,393,42743,0.1,0.076946743364845,173.81073402200002,True,False
70,320.0,375,43118,0.1,0.0799724406741084,175.2262154849999,True,False
71,460.0,427,43545,0.1,0.07497919424846072,176.848899921,True,False
72,290.0,403,43948,0.1,0.09012828492513388,178.348701494,True,False
73,320.0,432,44380,0.1,0.09343914409961414,179.94270890199994,True,False
74,1070.0,1047,45427,0.1,0.08821839974101248,184.35238703099992,True,False
75,450.0,584,46011,0.1,0.08341343310495762,186.48624389199983,True,False
76,500.0,505,46516,0.1,0.0757266297921773,190.47097310399988,True,False
77,280.0,459,46975,0.1,0.07063667835635051,192.14535586099998,True,False
78,260.0,379,47354,0.1,0.07456203346189699,193.75488980299986,True,False
79,390.0,539,47893,0.1,0.0772145479089684,196.23361688199986,True,False
80,980.0,620,48513,0.1,0.06886081809718762,198.39768323400006,True,False
81,470.0,584,49097,0.1,0.07150701913752988,200.48497073099986,True,False
82,1460.0,931,50028,0.1,0.070767295818632,203.68530898799997,True,False
83,940.0,732,50760,0.1,0.06590363270313036,206.43191695099983,True,False
84,600.0,539,51299,0.1,0.07004836693739713,208.9410919149999,True,False
85,1430.0,744,52043,0.1,0.07821374810651265,211.56205712999997,True,False
86,470.0,537,52580,0.1,0.06236769134799639,213.48289565899984,True,False
87,410.0,386,52966,0.1,0.06807195237100434,214.926428546,True,False
88,530.0,553,53519,0.1,0.07585863411372555,216.94870344499998,True,False
89,680.0,573,54092,0.1,0.06606340182608822,219.15080538099994,True,False
90,310.0,477,54569,0.1,0.0853226440606498,221.41425497900002,True,False
91,860.0,1080,55649,0.1,0.08153396049790361,225.09372209900005,True,False
92,840.0,615,56264,0.1,0.09050018961432499,227.2232652639999,True,False
93,460.0,450,56714,0.1,0.07293293445504137,228.85061344200005,True,False
94,490.0,493,57207,0.1,0.10818558065144997,230.58891907500004,True,False
95,620.0,504,57711,0.1,0.10776026067989213,232.70566905199996,True,False
96,660.0,651,58362,0.1,0.10067835203343374,235.30537196199987,True,False
97,700.0,669,59031,0.1,0.07229716696603569,237.69377311999995,True,False
98,460.0,410,59441,0.1,0.08604207179210718,239.21810636999987,True,False
99,440.0,425,59866,0.1,0.08965813765688888,240.7540138999999,True,False
100,460.0,611,60477,0.1,0.10854883916262123,242.93820794600003,True,False
101,360.0,425,60902,0.1,0.10359724946671499,246.88141412699986,True,False
102,520.0,523,61425,0.1,0.1172367098904748,248.72094723199996,True,False
103,840.0,852,62277,0.1,0.10446307175473568,251.6942169969999,True,False
104,1690.0,1088,63365,0.1,0.1034830253886278,255.4236936599999,True,False
105,350.0,396,63761,0.1,0.10468862819099667,257.09236863900003,True,False
106,1470.0,1159,64920,0.1,0.08607464447810219,261.4593991769999,True,False
107,660.0,519,65439,0.1,0.08365446865529746,263.2987798569999,True,False
108,630.0,1024,66463,0.1,0.08096185999602312,266.8106249859999,True,False
109,1300.0,869,67332,0.1,0.0820285644544579,270.06276453,True,False
110,920.0,744,68076,0.1,0.07414886679860853,273.05620362,True,False
111,1050.0,971,69047,0.1,0.07713781086312345,276.3805572729999,True,False
112,930.0,848,69895,0.1,0.06719701815800706,279.26410453100004,True,False
113,490.0,479,70374,0.1,0.07560664601624012,280.978233014,True,False
114,370.0,649,71023,0.1,0.06491375287971747,283.88856470300004,True,False
115,1200.0,692,71715,0.1,0.08039621450006962,286.384366052,True,False
116,1110.0,519,72234,0.1,0.07542324118459454,288.25735729099995,True,False
117,880.0,779,73013,0.1,0.08512538138490457,291.09590673699984,True,False
118,930.0,699,73712,0.1,0.09171188397066934,293.670196939,True,False
119,1240.0,619,74331,0.1,0.09373865089705818,296.56275427799994,True,False
120,660.0,642,74973,0.1,0.08901619358763377,298.996366041,True,False
121,500.0,556,75529,0.1,0.09586010211341672,301.184204047,True,False
122,420.0,491,76020,0.1,0.09027260248132837,303.087179279,True,False
123,960.0,792,76812,0.1,0.09634371839388452,306.024441037,True,False
124,1510.0,902,77714,0.1,0.08908082941340076,310.03024585599985,True,False
125,1210.0,1037,78751,0.1,0.09151354343648353,313.78999687299995,True,False
126,1300.0,749,79500,0.1,0.07740670669962593,318.9349614639999,True,False
127,440.0,491,79991,0.1,0.07573678527699142,321.2052823559999,True,False
128,590.0,703,80694,0.1,0.08921899620591747,324.206697558,True,False
129,1480.0,724,81418,0.1,0.06824407509903717,326.96269452599984,True,False
130,250.0,403,81821,0.1,0.07563147046557157,328.61976287999994,True,False
131,740.0,554,82375,0.1,0.07930601762094791,330.79434856399996,True,False
132,620.0,530,82905,0.1,0.08447704331851319,333.1078874819999,True,False
133,300.0,382,83287,0.1,0.09500514959034166,335.22638421199997,True,False
134,370.0,511,83798,0.1,0.08352776159881614,337.2514398049999,True,False
135,880.0,527,84325,0.1,0.09016872937508831,339.300409176,True,False
136,880.0,856,85181,0.1,0.08988317710164691,342.46434405799994,True,False
137,670.0,664,85845,0.1,0.09983968961961477,345.0104237229999,True,False
138,270.0,404,86249,0.1,0.0963713112056698,347.08712180300006,True,False
139,220.0,312,86561,0.1,0.1031410418307552,348.7517737919999,True,False
140,410.0,472,87033,0.1,0.11271816552064176,350.55113306500004,True,False
141,590.0,591,87624,0.1,0.10589468099705472,352.783204619,True,False
142,720.0,544,88168,0.1,0.10525410934625302,354.906839397,True,False
143,680.0,710,88878,0.1,0.09439560860437525,357.63913909099995,True,False
144,460.0,453,89331,0.1,0.1082605389235294,359.73507921099997,True,False
145,1540.0,666,89997,0.1,0.08760969628563184,362.56946046899986,True,False
146,1110.0,905,90902,0.1,0.09162684572258947,365.883169675,True,False
147,1360.0,927,91829,0.1,0.09585170489575329,369.20376559199997,True,False
148,430.0,513,92342,0.1,0.09605548904801253,371.19747094799993,True,False
149,610.0,655,92997,0.1,0.09445743271853865,374.43383057099993,True,False
150,300.0,427,93424,0.1,0.08394786344719267,376.117355752,True,False
151,1100.0,700,94124,0.1,0.08112550105367387,381.17528144000005,True,False
152,390.0,477,94601,0.1,0.08168450446345475,383.00555928899996,True,False
153,530.0,581,95182,0.1,0.08835907829604273,385.58248893200005,True,False
154,670.0,618,95800,0.1,0.10599082389305677,388.31979897300005,True,False
155,920.0,646,96446,0.1,0.09670798280363127,390.75905027299984,True,False
156,830.0,598,97044,0.1,0.1073550154392918,393.091888778,True,False
157,940.0,761,97805,0.1,0.10971239010166181,395.88140032599983,True,False
158,1080.0,608,98413,0.1,0.10719655030774639,398.5912307709999,True,False
159,1510.0,769,99182,0.1,0.10141922978800721,401.65074310399984,True,False
160,380.0,519,99701,0.1,0.08875033441357888,403.61309189899987,True,False
161,1300.0,567,100268,0.1,0.09363678600114415,405.756228459,True,False
162,540.0,687,100955,0.1,0.09298472766007422,408.28809694999984,True,False
163,1480.0,841,101796,0.1,0.08341093784224649,411.9823615879999,True,False
164,340.0,341,102137,0.1,0.07032110116937582,413.39395907100004,True,False
165,300.0,330,102467,0.1,0.08799779410587578,414.70633973199995,True,False
166,550.0,448,102915,0.1,0.09790590600044068,416.4300134019999,True,False
167,460.0,458,103373,0.1,0.08011312329250833,418.24541882200003,True,False
168,360.0,435,103808,0.1,0.0986401448111742,419.984230184,True,False
169,490.0,517,104325,0.1,0.12530816801238892,421.94257100699986,True,False
170,660.0,591,104916,0.1,0.11745627345265569,424.82107703300005,True,False
171,440.0,493,105409,0.1,0.10668892115051669,426.778863957,True,False
172,850.0,751,106160,0.1,0.1136818126814955,429.5362711209999,True,False
173,820.0,663,106823,0.1,0.10609595509189548,431.96503680399985,True,False
174,930.0,715,107538,0.1,0.10144120700366004,434.60807543399994,True,False
175,590.0,523,108061,0.1,0.1316136498686694,437.02872823199993,True,False
176,1330.0,830,108891,0.1,0.1038685326019059,442.7442745699999,True,False
177,240.0,419,109310,0.1,0.09981907785293602,444.31157833300006,True,False
