episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
75,150.0,260,43115,0.1,0.04115207930310415,172.99441697200018,True,False
76,2250.0,795,43910,0.1,0.046792355389451264,178.9449793380004,True,False
77,720.0,869,44779,0.1,0.0527826613330278,182.28451675199994,True,False
78,290.0,361,45140,0.1,0.05214645750411264,183.7998042170002,True,False
79,1160.0,767,45907,0.1,0.048498755418427325,186.85217197500015,True,False
80,820.0,746,46653,0.1,0.04200061591700675,190.1221236180004,True,False
81,780.0,710,47363,0.1,0.050270642803739864,193.28559801600022,True,False
82,370.0,383,47746,0.1,0.04939512303099036,194.86811907500032,True,False
83,1080.0,674,48420,0.1,0.0514228899147604,197.59460452500025,True,False
84,1000.0,713,49133,0.1,0.05056717027805411,200.38880767,True,False
85,340.0,384,49517,0.1,0.04713438593171304,202.15588146300024,True,False
86,790.0,553,50070,0.1,0.049830001650675054,205.0223874860003,True,False
87,380.0,450,50520,0.1,0.05689034876784524,206.8334373560001,True,False
88,420.0,399,50919,0.1,0.04426623498926861,208.438795002,True,False
89,330.0,535,51454,0.1,0.05320833710981394,210.59813034900026,True,False
90,530.0,559,52013,0.1,0.053753283699708325,212.8540401940004,True,False
91,880.0,572,52585,0.1,0.05430079619497894,215.4195891290001,True,False
92,360.0,485,53070,0.1,0.055010437588245906,217.86216252500026,True,False
93,840.0,794,53864,0.1,0.05459086197292685,220.93048754000029,True,False
94,2500.0,683,54547,0.1,0.05405300773187157,223.61315155800003,True,False
95,410.0,552,55099,0.1,0.05375314974293545,225.78966910000008,True,False
96,350.0,479,55578,0.1,0.05873984926923489,228.02745742100024,True,False
97,770.0,607,56185,0.1,0.050669873966590354,231.01225576200022,True,False
98,400.0,432,56617,0.1,0.05550704329895476,232.7466196610003,True,False
99,1080.0,689,57306,0.1,0.05400341036891954,235.4736692280003,True,False
100,900.0,611,57917,0.1,0.04983474011685139,237.96071290200007,True,False
101,580.0,479,58396,0.1,0.05528343673795462,242.9828574510002,True,False
102,570.0,463,58859,0.1,0.0530984947376925,244.83687154500012,True,False
103,950.0,616,59475,0.1,0.0539965344859021,247.2418430150001,True,False
104,470.0,424,59899,0.1,0.060306173670193496,248.94973975300036,True,False
105,520.0,492,60391,0.1,0.057850449043136784,250.8978521150002,True,False
106,530.0,539,60930,0.1,0.05961672875478312,253.21936142699997,True,False
107,1370.0,725,61655,0.1,0.058035330990977706,256.6567263720003,True,False
108,490.0,454,62109,0.1,0.05988027940079439,258.46136035200016,True,False
109,570.0,501,62610,0.1,0.0642704103142023,260.5052539200001,True,False
110,490.0,570,63180,0.1,0.05869742766856314,262.7752009830001,True,False
111,430.0,489,63669,0.1,0.062289777299633524,264.7336352570005,True,False
112,450.0,424,64093,0.1,0.059882650068381206,266.91126882100025,True,False
113,750.0,519,64612,0.1,0.06415051057075079,269.3526305780001,True,False
114,640.0,541,65153,0.1,0.05778204672797411,271.50496909500043,True,False
115,470.0,448,65601,0.1,0.05651771319597693,273.3198639320003,True,False
116,720.0,575,66176,0.1,0.06647765382270639,275.65473276500006,True,False
117,580.0,493,66669,0.1,0.06372848271990453,277.6454864880002,True,False
118,1230.0,709,67378,0.1,0.06504383863681286,281.0898942890003,True,False
119,1010.0,577,67955,0.1,0.06436690507689491,283.3469712910005,True,False
120,780.0,700,68655,0.1,0.07311008478381804,286.0592234230003,True,False
121,270.0,340,68995,0.1,0.06995114160372931,287.4712114099998,True,False
122,1700.0,707,69702,0.1,0.07398337202072985,290.22406084600016,True,False
123,660.0,582,70284,0.1,0.06509677129989005,293.23477068700004,True,False
124,2430.0,886,71170,0.1,0.06568810938356015,296.7564503139997,True,False
125,550.0,535,71705,0.1,0.06021731477856303,298.9236114770006,True,False
126,570.0,587,72292,0.1,0.07127922019433408,303.3224214630004,True,False
127,1020.0,721,73013,0.1,0.0766014703290744,306.83298640400017,True,False
128,540.0,647,73660,0.1,0.06113707320189771,309.4079561550002,True,False
129,390.0,474,74134,0.1,0.07973918028302111,311.3454006859997,True,False
130,1060.0,931,75065,0.1,0.0752447245906351,315.0022892440006,True,False
131,440.0,480,75545,0.1,0.07447408535517752,317.31373621600005,True,False
132,530.0,646,76191,0.1,0.07279480991723097,320.37364121900055,True,False
133,780.0,764,76955,0.1,0.07308623803223616,323.4787054459998,True,False
134,490.0,573,77528,0.1,0.07288177857278949,325.9747065840006,True,False
135,320.0,447,77975,0.1,0.08196606665749002,327.8861905110002,True,False
136,630.0,512,78487,0.1,0.07017708319835947,330.34058857399987,True,False
137,1110.0,886,79373,0.1,0.07776700125940077,334.26249554300057,True,False
138,440.0,502,79875,0.1,0.07729248317331075,336.3729139789998,True,False
139,1170.0,610,80485,0.1,0.07745628047344927,338.91373251699997,True,False
140,610.0,510,80995,0.1,0.07417718337218124,341.0470289199998,True,False
141,2070.0,697,81692,0.1,0.07267671820308481,344.5141258790004,True,False
